solver,seed,instance,V,E,best_lb,best_ub,gap,status
deep-v10,1,T1_300_1000_2.wclq,300,1000,1254,1504,0.199362,OK
deep-v10,1,T1_300_1000_8.wclq,300,1000,1223,1491,0.219133,OK
deep-v10,1,T1_300_2000_4.wclq,300,2000,566,888,0.568905,OK
deep-v10,1,T1_300_3000_0.wclq,300,3000,339,606,0.787611,OK
deep-v10,1,T1_300_3000_6.wclq,300,3000,341,625,0.832845,OK
deep-v10,1,T1_300_300_2.wclq,300,300,3170,3193,0.007256,OK
deep-v10,1,T1_300_300_8.wclq,300,300,3115,3167,0.016693,OK
deep-v10,1,T1_300_5000_4.wclq,300,5000,184,412,1.23913,OK
deep-v10,1,T1_300_500_0.wclq,300,500,2277,2480,0.089152,OK
deep-v10,1,T1_300_500_6.wclq,300,500,2223,2439,0.097166,OK
deep-v10,1,T1_300_750_2.wclq,300,750,1655,1892,0.143202,OK
deep-v10,1,T1_300_750_8.wclq,300,750,1626,1859,0.143296,OK
deep-v10,1,T1_500_10000_4.wclq,500,10000,247,587,1.376518,OK
deep-v10,1,T1_500_1000_0.wclq,500,1000,3279,3654,0.114364,OK
deep-v10,1,T1_500_1000_6.wclq,500,1000,3309,3638,0.099426,OK
deep-v10,1,T1_500_2000_2.wclq,500,2000,1802,2219,0.23141,OK
deep-v10,1,T1_500_2000_8.wclq,500,2000,1629,2118,0.300184,OK
deep-v10,1,T1_500_5000_4.wclq,500,5000,588,1055,0.794218,OK
deep-v10,1,T1_500_500_0.wclq,500,500,5188,5476,0.055513,OK
deep-v10,1,T1_500_500_6.wclq,500,500,5153,5320,0.032408,OK
deep-v10,1,T1_50_1000_2.wclq,0,0,21,41,0.952381,PARTIAL
deep-v10,1,T1_50_1000_8.wclq,50,1000,26,46,0.769231,OK
deep-v10,1,T1_50_100_4.wclq,50,100,319,356,0.115987,OK
deep-v10,1,T1_50_250_0.wclq,50,250,137,181,0.321168,OK
deep-v10,1,T1_50_250_6.wclq,50,250,129,163,0.263566,OK
deep-v10,1,T1_50_500_2.wclq,50,500,62,86,0.387097,OK
deep-v10,1,T1_50_500_8.wclq,50,500,58,96,0.655172,OK
deep-v10,1,T1_50_50_4.wclq,50,50,495,502,0.014141,OK
deep-v10,1,T1_50_750_0.wclq,50,750,38,69,0.815789,OK
deep-v10,1,T1_50_750_6.wclq,0,0,34,61,0.794118,PARTIAL
deep-v10,1,T1_800_0_2.wclq,800,799,8237,8640,0.048926,OK
deep-v10,1,T1_800_0_8.wclq,800,799,8194,8449,0.03112,OK
deep-v10,1,T1_800_10000_4.wclq,800,10000,678,1404,1.070796,OK
