dataset,family,baseline_solver,instance,repeats,formats,has_lb_summary,V,E,first_lb_min,first_lb_mean,first_lb_median,best_lb_min,best_lb_mean,best_lb_median,best_lb_max,best_ub_min,best_ub_mean,best_ub_median,final_gap_mean,historical_value_min,historical_value_mean,historical_value_median
DIMACS,deep,dualdeep,MANN_a81.clq,10,summary,1,3321,5506380,1,1,1,1,1,1,1,2,2,2,0.5,2,2,2
DIMACS,deep,dualdeep,MANN_a9.clq,10,summary,1,45,918,4,4,4,4,4,4,4,5,5,5,0.2,5,5,5
DIMACS,deep,dualdeep,T1_1000_1000_0.wclq,10,summary,1,1000,1000,9991,9991,9991,10126,10182.1,10187.5,10216,10405,10405.8,10406,0.0215,10405,10405.8,10406
DIMACS,deep,dualdeep,T1_1000_1000_1.wclq,10,summary,1,1000,1000,10154,10154,10154,10317,10338.7,10337.5,10366,10486,10486.1,10486,0.01404,10486,10486.1,10486
DIMACS,deep,dualdeep,T1_1000_1000_2.wclq,10,summary,1,1000,1000,10318,10318,10318,10465,10493.6,10496.5,10515,10770,10770.9,10771,0.025750000000000002,10770,10770.9,10771
DIMACS,deep,dualdeep,T1_1000_1000_3.wclq,10,summary,1,1000,1000,10162,10162,10162,10301,10327.1,10327,10351,10559,10559.8,10560,0.02202,10559,10559.8,10560
DIMACS,deep,dualdeep,T1_1000_1000_4.wclq,10,summary,1,1000,1000,10100,10100,10100,10273,10305.8,10305.5,10337,10568,10570,10569,0.025,10568,10570,10569
DIMACS,deep,dualdeep,T1_1000_1000_5.wclq,10,summary,1,1000,1000,10103,10103,10103,10290,10315.6,10315,10337,10553,10556,10556,0.02276,10553,10556,10556
DIMACS,deep,dualdeep,T1_1000_1000_6.wclq,10,summary,1,1000,1000,10318,10318,10318,10499,10537.5,10536,10566,10692,10692.2,10692,0.01449,10692,10692.2,10692
DIMACS,deep,dualdeep,T1_1000_1000_7.wclq,10,summary,1,1000,1000,9999,9999,9999,10160,10171.8,10169,10187,10471,10471.7,10472,0.02864,10471,10471.7,10472
DIMACS,deep,dualdeep,T1_1000_1000_8.wclq,10,summary,1,1000,1000,10166,10166,10166,10326,10348.9,10348,10363,10603,10603.7,10604,0.02402,10603,10603.7,10604
DIMACS,deep,dualdeep,T1_1000_1000_9.wclq,10,summary,1,1000,1000,10260,10260,10260,10392,10425.5,10424,10447,10660,10660,10660,0.021990000000000003,10660,10660,10660
DIMACS,deep,dualdeep,T1_100_100_0.wclq,10,summary,1,100,100,1090,1090,1090,1117,1123.9,1126,1127,1136,1136,1136,0.01064,1136,1136,1136
DIMACS,deep,dualdeep,T1_100_100_1.wclq,10,summary,1,100,100,1001,1001,1001,1013,1013,1013,1013,1013,1013,1013,0.0,1013,1013,1013
DIMACS,deep,dualdeep,T1_100_100_2.wclq,10,summary,1,100,100,1027,1027,1027,1039,1039,1039,1039,1039,1039,1039,0.0,1039,1039,1039
DIMACS,deep,dualdeep,T1_100_100_3.wclq,10,summary,1,100,100,1052,1052,1052,1075,1080,1080,1083,1111,1111,1111,0.0279,1111,1111,1111
DIMACS,deep,dualdeep,T1_100_100_4.wclq,10,summary,1,100,100,1061,1061,1061,1064,1067.4,1068,1071,1080,1080,1080,0.01168,1080,1080,1080
DIMACS,deep,dualdeep,T1_100_100_5.wclq,10,summary,1,100,100,1000,1000,1000,1001,1001,1001,1001,1001,1001,1001,0.0,1001,1001,1001
DIMACS,deep,dualdeep,T1_100_100_6.wclq,10,summary,1,100,100,1038,1038,1038,1052,1052,1052,1052,1052,1052,1052,0.0,1052,1052,1052
DIMACS,deep,dualdeep,T1_100_100_7.wclq,10,summary,1,100,100,1032,1032,1032,1047,1047.6,1047.5,1049,1059,1059,1059,0.01075,1059,1059,1059
DIMACS,deep,dualdeep,T1_100_100_8.wclq,10,summary,1,100,100,1028,1028,1028,1036,1038.2,1039,1039,1048,1048,1048,0.00936,1048,1048,1048
DIMACS,deep,dualdeep,T1_100_100_9.wclq,10,summary,1,100,100,1036,1036,1036,1070,1070.3,1070,1071,1071,1071,1071,0.00063,1071,1071,1071
DIMACS,deep,dualdeep,T1_150_150_0.wclq,10,summary,1,150,150,1602,1602,1602,1627,1628.8,1628.5,1631,1667,1667,1667,0.022920000000000003,1667,1667,1667
DIMACS,deep,dualdeep,T1_150_150_1.wclq,10,summary,1,150,150,1519,1519,1519,1533,1533,1533,1533,1533,1533,1533,0.0,1533,1533,1533
DIMACS,deep,dualdeep,T1_150_150_2.wclq,10,summary,1,150,150,1568,1568,1568,1585,1588.4,1586,1594,1612,1612,1612,0.01462,1612,1612,1612
DIMACS,deep,dualdeep,T1_150_150_3.wclq,10,summary,1,150,150,1510,1510,1510,1531,1537.9,1535,1549,1571,1571,1571,0.0211,1571,1571,1571
DIMACS,deep,dualdeep,T1_150_150_4.wclq,10,summary,1,150,150,1502,1502,1502,1509,1509,1509,1509,1514,1514,1514,0.0033,1514,1514,1514
DIMACS,deep,dualdeep,T1_150_150_5.wclq,10,summary,1,150,150,1479,1479,1479,1485,1485.4,1485,1486,1486,1486,1486,0.00041999999999999996,1486,1486,1486
DIMACS,deep,dualdeep,T1_150_150_6.wclq,10,summary,1,150,150,1559,1559,1559,1589,1595.1,1593,1607,1615,1615,1615,0.012329999999999999,1615,1615,1615
DIMACS,deep,dualdeep,T1_150_150_7.wclq,10,summary,1,150,150,1538,1538,1538,1563,1565.7,1565.5,1569,1598,1598,1598,0.02021,1598,1598,1598
DIMACS,deep,dualdeep,T1_150_150_8.wclq,10,summary,1,150,150,1507,1507,1507,1548,1552.6,1553,1555,1573,1573,1573,0.01297,1573,1573,1573
DIMACS,deep,dualdeep,T1_150_150_9.wclq,10,summary,1,150,150,1550,1550,1550,1584,1589.7,1587,1602,1636,1636,1636,0.02832,1636,1636,1636
DIMACS,deep,dualdeep,T1_200_250_0.wclq,1,summary,1,200,250,1880,1880,1880,1923,1923,1923,1923,2008,2008,2008,0.0423,2008,2008,2008
